season_Match_Event_Type_primary,season_Match_Event_minute,season_Match_Event_second,season_Match_Event_infraction_yellowCard,season_Match_Event_infraction_redCard,season_Match_Event_playerId,season_Match_Event_opponentTeamId,season_Match_Event_teamId,season_Match_Event_infraction_opponentId,season_Match_Event_infraction_type,season_Match_Event_location_x,season_Match_Event_location_y
penalty,4,59,False,False,68048,16195,16180,,hand_foul,11,43
infraction,11,29,False,False,437530,16195,16180,331348.0,regular_foul,36,7
infraction,12,48,False,False,0,16180,16195,0.0,regular_foul,60,17
infraction,13,22,True,False,772691,16180,16195,68048.0,regular_foul,70,79
infraction,17,58,False,False,375012,16180,16195,489225.0,regular_foul,37,33
infraction,21,51,False,False,489672,16195,16180,,hand_foul,55,83
infraction,24,42,False,False,772691,16180,16195,583334.0,regular_foul,88,72
infraction,26,43,False,False,772691,16180,16195,583334.0,regular_foul,62,61
infraction,32,42,False,False,489222,16180,16195,0.0,regular_foul,83,7
infraction,34,22,False,False,501474,16180,16195,619581.0,regular_foul,65,17
infraction,36,50,True,False,583334,16195,16180,772691.0,regular_foul,25,79
infraction,40,56,False,False,619581,16195,16180,375017.0,regular_foul,77,50
infraction,42,36,False,False,501474,16180,16195,560631.0,regular_foul,30,19
infraction,43,53,False,False,375022,16180,16195,560631.0,regular_foul,65,23
infraction,45,33,False,False,552360,16195,16180,375022.0,regular_foul,76,11
infraction,47,18,True,False,375012,16180,16195,489225.0,regular_foul,26,84
penalty,48,32,False,False,331348,16180,16195,609678.0,regular_foul,12,71
infraction,45,23,False,False,331348,16180,16195,609678.0,regular_foul,55,81
infraction,46,31,False,True,772691,16180,16195,583334.0,regular_foul,57,6
infraction,50,9,False,False,808074,16180,16195,126736.0,regular_foul,60,67
infraction,54,28,False,False,145610,16180,16195,619581.0,regular_foul,68,9
infraction,55,1,False,False,552360,16195,16180,501477.0,regular_foul,67,23
infraction,57,12,False,False,583624,16180,16195,583334.0,regular_foul,86,9
infraction,60,37,False,False,560631,16195,16180,808074.0,regular_foul,69,11
offside,64,56,,,489672,16195,16180,,,84,68
infraction,66,4,True,False,552360,16195,16180,501477.0,regular_foul,34,32
infraction,68,58,False,False,728982,16195,16180,0.0,regular_foul,21,90
infraction,70,51,False,False,728982,16195,16180,375017.0,regular_foul,97,80
infraction,74,54,False,False,609678,16195,16180,583608.0,regular_foul,73,13
infraction,80,53,False,False,728982,16195,16180,375017.0,regular_foul,84,86
infraction,83,55,False,False,609678,16195,16180,,hand_foul,38,37
infraction,85,49,False,False,728982,16195,16180,583608.0,regular_foul,24,17
infraction,86,46,False,False,501477,16180,16195,638949.0,regular_foul,69,63
infraction,87,30,False,False,489225,16195,16180,375012.0,regular_foul,54,54
infraction,90,17,True,False,638949,16195,16180,375012.0,regular_foul,66,71
infraction,91,23,False,False,638949,16195,16180,375012.0,regular_foul,33,81
offside,94,51,,,560631,16195,16180,,,70,11
